#{"t_start": 1773862945.5582237, "env_id": "None"}
r,l,t
-79.655196,180,64.163827
-80.974455,180,132.049361
-79.456699,180,202.537369
-79.050614,180,278.627193
-84.531442,180,348.367626
-78.135357,180,417.706404
-84.334721,180,488.549518
-82.47725,180,559.160823
-81.807716,180,633.232085
-82.667855,180,700.540674
-79.168004,180,769.796944
-81.43774,180,839.34944
-82.430826,180,907.814534
-79.540064,180,973.659566
-80.488711,180,1038.04248
-84.061231,180,1105.89774
-75.761589,180,1171.776417
-82.862402,180,1237.992119
-82.584324,180,1308.812219
-78.932368,180,1380.017205
-82.003692,180,1452.835484
-81.49137,180,1515.145805
-80.00956,180,1575.852151
-80.029833,180,1632.48979
-77.884041,180,1689.01125
-83.688785,180,1745.579409
-80.642567,180,1802.937441
-83.089839,180,1854.602893
